Hebrew,English,KedushaHe,NoKedushaHe,SefihinHe,NoSefihinHe,BiurHe,KedushaEn,NoKedushaEn,SefihinEn,NoSefihinEn,BiurEn,Type,Kedusha,NoKedusha,Sefihin,NoSefihin,Biur
אבטיח,Watermelon,ד תשרי,חנוכה תשע”ו,א ניסן,חנוכה תשע”ו,"ראה”ש תשע""ו",4 Tishrei,Hanukah 5776,1 Nissan,Hanukah 5776,Rosh Hashana 5776,vegetable,4 Tishrei 5775,25 Kislev 5776,1 Nissan 5775,25 Kislev 5776,3 Tishrei 5776
אורז,Rice,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
איזוב מצוי,Zaatar,ד תשרי,סוף כסלו תשע”ו,אין,אין,אין,4 Tishrei,End Kislev 5776,None,None,None,vegetable,4 Tishrei 5775,28 Kislev 5776,None,None,None
אננס,Pineapple,ד תשרי,לא ידוע,אין,אין,אין,4 Tishrei,Unknown,None,None,None,vegetable,4 Tishrei 5775,1 Tishrei 6000,None,None,None
אספרגוס,Asparagus,ד תשרי,לא ידוע,אין,אין,"ראה”ש תשע""ו",4 Tishrei,Unknown,None,None,Rosh Hashana 5776,vegetable,4 Tishrei 5775,1 Tishrei 6000,None,None,3 Tishrei 5776
אפונה – תרמיל,Pea (in pod),ד תשרי,חנוכה תשע”ו,כג ניסן,חנוכה תשע”ו,א תמוז (תשע”ה),4 Tishrei,Hanukah 5776,23 Nissan,Hanukah 5776,1 Tammuz (5775),vegetable,4 Tishrei 5775,25 Kislev 5776,23 Nissan 5775,25 Kislev 5776,1 Tammuz 5775
אפונה – גרגרים,Pea (dry),אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
ארטישוק,Artichoke,ז חשון,לא ידוע,אין,אין,א סיון (תשע”ה),7 Heshvan,Unknown,None,None,1 Sivan (5775),vegetable,7 Heshvan 5775,1 Tishrei 6000,None,None,1 Sivan 5775
ארטישוק ירושלמי (בטטה קאסבייה),Jerusalem artichoke,ד תשרי,חנוכה תשע”ו,א אלול,חנוכה תשע”ו,"ראה”ש תשע""ו",4 Tishrei,Hanukah 5776,1 Elul,Hanukah 5776,Rosh Hashana 5776,vegetable,4 Tishrei 5775,25 Kislev 5776,1 Elul 5775,25 Kislev 5776,3 Tishrei 5776
בזיליקום,Basil,ד תשרי,חנוכה תשע”ו,א כסלו,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,1 Kislev,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,1 Kislev 5775,25 Kislev 5776,None
